2017-03,8
2017-04,882
2017-05,532
2017-06,1126
2017-07,867
2017-08,548
2017-09,243
2017-10,503
2017-11,666
2017-12,1042
2018-01,1224
2018-02,2448
2018-03,1143
2018-04,1486
2018-05,1250
2018-06,3358
2018-07,5823
2018-08,7284
2018-09,5545
2018-10,8173
2018-11,7063
2018-12,17430
2019-01,3404
2019-02,2424
2019-03,1945
2019-04,1253
2019-05,2896
2019-06,2624
2019-07,2334
2019-08,1916
2019-09,1108
2019-10,3701
2019-11,3476
2019-12,4853
2020-01,4123
2020-02,4638
2020-03,2993
2020-04,19419
2020-05,4000
2020-06,2641
2020-07,5001
2020-08,6281
2020-09,3652
2020-10,5420
2020-11,3068
2020-12,3651
2021-01,4398
